Counterparty,Instrument,USDSpots,USDFwdsSwapsTotal,USDSpotRank,USDFwdsSwapsRank
UBSL,EURPLN,84360254.0,13610634.0,1.0,1.0
UBSL,EURSEK,169219401.0,12657501.0,1.0,5.0
UBSL,EURUSD,619829043.0,113492792.0,1.0,8.0
UBSL,GBPUSD,330408087.0,15095784.0,1.0,10.0
UBSL,NZDUSD,233936929.0,17424040.0,1.0,9.0
UBSL,USDBRL,0.0,33580000.0,0,5.0
UBSL,USDCAD,291050000.0,3623386.0,1.0,6.0
UBSL,USDCHF,378720000.0,6643187.0,1.0,7.0
UBSL,USDCLP,0.0,30000.0,0,10.0
UBSL,USDCNH,19440000.0,9992.0,2.0,11.0
UBSL,USDCOP,0.0,1211067.0,0,7.0
UBSL,USDCZK,0.0,51642.0,0,8.0
UBSL,USDHUF,0.0,1611.0,0,11.0
UBSL,USDIDR,0.0,40480000.0,0,1.0
UBSL,USDILS,42870000.0,7982971.0,1.0,3.0
UBSL,USDINR,0.0,120550000.0,0,3.0
UBSL,USDJPY,273480000.0,59310077.0,2.0,5.0
UBSL,USDKRW,0.0,20756204.0,0,3.0
UBSL,USDMXN,35610000.0,68453537.0,3.0,2.0
UBSL,USDNOK,0.0,1608074.0,0,4.0
UBSL,USDPHP,0.0,10610000.0,0,2.0
UBSL,USDPLN,0.0,103127.0,0,7.0
UBSL,USDSEK,0.0,572648.0,0,8.0
UBSL,USDSGD,85370000.0,1552747.0,1.0,8.0
UBSL,USDTHB,0.0,2498736.0,0,6.0
UBSL,USDTWD,0.0,69776584.0,0,2.0
UBSL,USDZAR,40930000.0,2359972.0,1.0,9.0
WESTPAC,AUDUSD,0.0,41028855.0,0,9.0
WESTPAC,EURUSD,0.0,57935171.0,0,9.0
WESTPAC,GBPUSD,0.0,146030.0,0,13.0
WESTPAC,NZDUSD,0.0,11715593.0,0,10.0
WESTPAC,USDCHF,0.0,6947.0,0,12.0
WESTPAC,USDSEK,0.0,1051431.0,0,6.0
WESTPAC,USDTHB,0.0,140000.0,0,9.0
XTX,AUDUSD,69113920.0,0.0,10.0,0
XTX,EURCZK,20860699.0,0.0,3.0,0
XTX,EURNOK,135089364.0,0.0,1.0,0
XTX,EURPLN,21755141.0,0.0,2.0,0
XTX,EURSEK,44300329.0,0.0,8.0,0
XTX,EURUSD,32173921.0,0.0,14.0,0
XTX,GBPUSD,289602538.0,0.0,4.0,0
XTX,NZDUSD,19084787.0,0.0,11.0,0
XTX,USDCAD,35140000.0,0.0,8.0,0
XTX,USDCHF,85860000.0,0.0,7.0,0
XTX,USDCNH,9610000.0,0.0,5.0,0
XTX,USDILS,1050000.0,0.0,7.0,0
XTX,USDJPY,74050000.0,0.0,9.0,0
XTX,USDMXN,71890000.0,0.0,1.0,0
XTX,USDSGD,19590000.0,0.0,8.0,0
XTX,USDTHB,7440000.0,0.0,5.0,0
XTX,USDZAR,12526000.0,0.0,6.0,0
