Counterparty,Instrument,USDSpots,USDFwdsSwapsTotal,USDSpotRank,USDFwdsSwapsRank
CITI,EURUSD,143945890.0,6941823.0,9.0,14.0
CITI,GBPUSD,199212194.0,39348323.0,8.0,8.0
CITI,NZDUSD,53963280.0,87694665.0,6.0,3.0
CITI,USDBRL,0.0,107206184.0,0,1.0
CITI,USDCAD,172360000.0,185131714.0,4.0,2.0
CITI,USDCHF,148130000.0,73187214.0,5.0,4.0
CITI,USDCLP,0.0,50000.0,0,9.0
CITI,USDCNH,0.0,19371633.0,0,4.0
CITI,USDCOP,0.0,7360000.0,0,2.0
CITI,USDCZK,0.0,36664780.0,0,1.0
CITI,USDHUF,0.0,58494822.0,0,1.0
CITI,USDIDR,0.0,1130000.0,0,9.0
CITI,USDILS,3560000.0,67705925.0,6.0,1.0
CITI,USDINR,0.0,65805143.0,0,6.0
CITI,USDJPY,241190000.0,2793888.0,3.0,12.0
CITI,USDKRW,0.0,47685614.0,0,1.0
CITI,USDMXN,22990000.0,249585.0,5.0,10.0
CITI,USDNOK,0.0,20506451.0,0,2.0
CITI,USDPHP,0.0,1850000.0,0,7.0
CITI,USDPLN,0.0,37072129.0,0,2.0
CITI,USDSEK,0.0,18247676.0,0,2.0
CITI,USDSGD,28230000.0,20872101.0,3.0,4.0
CITI,USDTHB,0.0,59164906.0,0,1.0
CITI,USDTWD,0.0,14414196.0,0,8.0
CITI,USDZAR,2090000.0,43194866.0,8.0,2.0
COMMFX,AUDUSD,203971141.0,0.0,3.0,0
COMMFX,EURHUF,10332904.0,0.0,7.0,0
COMMFX,EURNOK,5277045.0,0.0,10.0,0
COMMFX,EURPLN,968924.0,0.0,11.0,0
COMMFX,EURSEK,12416958.0,0.0,9.0,0
COMMFX,EURUSD,222408439.0,0.0,4.0,0
COMMFX,GBPUSD,12721260.0,0.0,15.0,0
COMMFX,NZDUSD,30618984.0,18367703.0,9.0,8.0
COMMFX,USDCAD,23620000.0,1121054.0,10.0,8.0
COMMFX,USDCHF,40500000.0,0.0,11.0,0
COMMFX,USDCNH,1000000.0,0.0,9.0,0
COMMFX,USDCZK,0.0,52852.0,0,7.0
COMMFX,USDILS,4440000.0,170097.0,5.0,8.0
COMMFX,USDJPY,64400000.0,147200000.0,10.0,3.0
COMMFX,USDMXN,3880000.0,447504.0,10.0,9.0
COMMFX,USDSGD,3000000.0,0.0,11.0,0
COMMFX,USDTWD,0.0,162304.0,0,13.0
COMMFX,USDZAR,6560000.0,0.0,7.0,0
Counterparty,Instrument,USDSpots,USDFwdsSwapsTotal,USDSpotRank,USDFwdsSwapsRank
Counterparty,Instrument,USDSpots,USDFwdsSwapsTotal,USDSpotRank,USDFwdsSwapsRank
Counterparty,Instrument,USDSpots,USDFwdsSwapsTotal,USDSpotRank,USDFwdsSwapsRank
Counterparty,Instrument,USDSpots,USDFwdsSwapsTotal,USDSpotRank,USDFwdsSwapsRank
Counterparty,Instrument,USDSpots,USDFwdsSwapsTotal,USDSpotRank,USDFwdsSwapsRank
Counterparty,Instrument,USDSpots,USDFwdsSwapsTotal,USDSpotRank,USDFwdsSwapsRank
Counterparty,Instrument,USDSpots,USDFwdsSwapsTotal,USDSpotRank,USDFwdsSwapsRank
Counterparty,Instrument,USDSpots,USDFwdsSwapsTotal,USDSpotRank,USDFwdsSwapsRank
